K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. "
K0284,Knowledge of developing and applying user credential management system.
K0035,"Knowledge of installation, integration, and optimization of system components."
K0102,Knowledge of the systems engineering process.
K0290,Knowledge of systems security testing and evaluation methods.
K0297,Knowledge of countermeasure design for identified security risks.
K0040,"Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins)."
K0339,Knowledge of how to use network analysis tools to identify vulnerabilities.
K0121,Knowledge of information security program management and project management principles and techniques.
K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.
K0126,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
K0163,Knowledge of critical information technology (IT) procurement requirements.
K0101,Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
K0090,"Knowledge of system life cycle management principles, including software security and usability."
K0072,Knowledge of resource management principles and techniques.
K0048,Knowledge of Risk Management Framework (RMF) requirements.
K0149,Knowledge of organization's risk tolerance and/or risk management approach.
K0169,"Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures."
K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.
K0199,"Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA])."
K0150,"Knowledge of enterprise incident response program, roles, and responsibilities."
K0054,"Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities."
K0033,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists)."
K0170,Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
K0008,Knowledge of applicable business processes and operations of customer organizations.
K0087,"Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design."
K0092,Knowledge of technology integration processes.
K0059,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.
K0151,Knowledge of current and emerging threats/threat vectors.
K0106,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.
K0342,"Knowledge of penetration testing principles, tools, and techniques."
K0628,"Knowledge of cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations."
K0296,"Knowledge of capabilities, applications, and potential vulnerabilities of network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware."
K0314,Knowledge of industry technologies’ potential cybersecurity vulnerabilities.
K0147,"Knowledge of emerging security issues, risks, and vulnerabilities."
K0615,Knowledge of privacy disclosure statements based on current laws.
K0341,Knowledge of foreign disclosure policies and import/export control regulations as related to cybersecurity. 
K0157,"Knowledge of cyber defense and information security policies, procedures, and regulations."
K0312,"Knowledge of intelligence gathering principles, policies, and procedures including legal authorities and restrictions."
K0316,"Knowledge of business or military operation plans, concept operation plans, orders, policies, and standing rules of engagement."
K0066,Knowledge of Privacy Impact Assessments.
K0235,"Knowledge of how to leverage research and development centers, think tanks, academic research, and industry systems."
K0257,Knowledge of information technology (IT) acquisition/procurement requirements.
K0270,Knowledge of the acquisition/procurement life cycle process.
K0196,Knowledge of Import/Export Regulations related to cryptography and other security technologies.
K0198,"Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions)."
K0154,"Knowledge of supply chain risk management standards, processes, and practices."
K0165,Knowledge of risk/threat assessment.
K0148,Knowledge of import/export control regulations and responsible agencies for the purposes of reducing supply chain risk.
K0164,"Knowledge of functionality, quality, and security requirements and how these will apply to specific items of supply (i.e., elements and processes)."
K0047,Knowledge of information technology (IT) architectural concepts and frameworks.
K0012,Knowledge of capabilities and requirements analysis.
K0249,"Knowledge of sustainment technologies, processes and strategies."
K0248,Knowledge of strategic theory and practice.
K0313,"Knowledge of external organizations and academic institutions with cyber focus (e.g., cyber curriculum/training and Research & Development)."
K0127,"Knowledge of the nature and function of the relevant information structure (e.g., National Information Infrastructure)."
K0234,"Knowledge of full spectrum cyber capabilities (e.g., defense, attack, exploitation)."
K0309,Knowledge of emerging technologies that have potential for exploitation.
K0311,Knowledge of industry indicators useful for identifying technology trends.
K0335,Knowledge of current and emerging cyber technologies.
K0204,"Knowledge of learning assessment techniques (rubrics, evaluation plans, tests, quizzes)."
K0215,Knowledge of organizational training policies.
K0243,"Knowledge of organizational training and education policies, processes, and procedures."
K0233,"Knowledge of the National Cybersecurity Workforce Framework, work roles, and associated tasks, knowledge, skills, and abilities."
K0241,"Knowledge of organizational human resource policies, processes, and procedures."
K0217,Knowledge of Learning Management Systems and their use in managing learning.
K0220,"Knowledge of modes of learning (e.g., rote learning, observation)."
K0245,Knowledge of principles and processes for conducting training and education needs assessment.
K0250,Knowledge of Test & Evaluation processes for learners.
K0252,"Knowledge of training and education principles and methods for curriculum design, teaching and instruction for individuals and groups, and the measurement of training and education effects."
K0124,Knowledge of multiple cognitive domains and tools and methods applicable for learning in each domain.
K0208,Knowledge of computer based training and e-learning services. 
K0213,"Knowledge of instructional design and evaluation models (e.g., ADDIE, Smith/Ragan model, Gagne’s Events of Instruction, Kirkpatrick’s model of evaluation)."
K0216,"Knowledge of learning levels (i.e., Bloom’s Taxonomy of learning)."
K0239,"Knowledge of media production, communication, and dissemination techniques and methods, including alternative ways to inform via written, oral, and visual media."
K0246,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications."
K0218,"Knowledge of learning styles (e.g., assimilator, auditory, kinesthetic)."
K0226,Knowledge of organizational training systems.
K0007,"Knowledge of authentication, authorization, and access control methods."
K0319,Knowledge of technical delivery capabilities and their limitations.
K0115,Knowledge that technology that can be exploited.
K0222,"Knowledge of relevant laws, legal authorities, restrictions, and regulations pertaining to cyber defense activities."
K0098,Knowledge of the cyber defense Service Provider reporting structure and processes within one’s own organization.
K0191,"Knowledge of signature implementation impact for viruses, malware, and attacks."
K0324,Knowledge of Intrusion Detection System (IDS)/Intrusion Prevention System (IPS) tools and applications.
K0190,Knowledge of encryption methodologies.
K0074,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management)."
K0112,Knowledge of defense-in-depth principles and network security architecture.
K0300,Knowledge of network mapping and recreating network topologies.
K0303,Knowledge of the use of sub-netting tools.
K0192,Knowledge of Windows/Unix ports and services.
K0161,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks)."
K0162,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored)."
K0258,"Knowledge of test procedures, principles, and methodologies (e.g., Capabilities and Maturity Model Integration (CMMI))."
K0334,"Knowledge of network traffic analysis (tools, methodologies, processes)."
K0205,"Knowledge of basic system, network, and OS hardening techniques."
K0062,Knowledge of packet-level analysis.
K0041,"Knowledge of incident categories, incident responses, and timelines for responses."
K0034,Knowledge of network services and protocols interactions that provide network communications.
K0230,Knowledge of cloud service models and how those models can limit incident response.
K0259,Knowledge of malware analysis concepts and methodologies.
K0210,Knowledge of data backup and restoration concepts.
K0308,Knowledge of cryptology.
K0265,"Knowledge of infrastructure supporting information technology (IT) for safety, performance, and reliability."
K0089,Knowledge of systems diagnostic tools and fault identification techniques.
K0344,Knowledge of an organization’s threat environment.
K0206,Knowledge of ethical hacking principles and techniques.
K0084,Knowledge of structured analysis principles and methods.
K0027,Knowledge of organization's enterprise information security architecture.
K0037,Knowledge of Security Assessment and Authorization process.
K0295,"Knowledge of confidentiality, integrity, and availability principles. "
K0028,Knowledge of organization's evaluation and validation requirements.
K0014,Knowledge of complex data structures.
K0202,"Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing)."
K0343,Knowledge of root cause analysis techniques.
K0152,"Knowledge of software related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization)."
K0039,Knowledge of cybersecurity and privacy principles and methods that apply to software development.
K0079,Knowledge of software debugging principles.
K0080,"Knowledge of software design tools, methods, and techniques."
K0081,"Knowledge of software development models (e.g., Waterfall Model, Spiral Model)."
K0153,Knowledge of software quality assurance process.
K0178,"Knowledge of secure software deployment methodologies, tools, and practices."
K0073,"Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org)."
K0086,"Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools."
K0105,"Knowledge of web services (e.g., service-oriented architecture, Simple Object Access Protocol, and web service description language)."
K0214,Knowledge of the Risk Management Framework Assessment Methodology. 
K0264,"Knowledge of program protection planning (e.g. information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements)."
K0030,"Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware)."
K0291,"Knowledge of the enterprise information technology (IT) architectural concepts and patterns (e.g., baseline, validated design, and target architectures.)"
K0293,Knowledge of integrating the organization’s goals and objectives into the architecture.
K0211,"Knowledge of confidentiality, integrity, and availability requirements."
K0240,Knowledge of multi-level security systems and cross domain solutions.
K0326,Knowledge of demilitarized zones.
K0207,Knowledge of circuit analysis.
K0286,Knowledge of N-tiered typologies (e.g. including server and client operating systems).
K0299,"Knowledge in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes."
K0323,Knowledge of system fault tolerance methodologies.
K0091,Knowledge of systems testing and evaluation methods.
K0212,Knowledge of cybersecurity-enabled software products.
K0320,Knowledge of organization's evaluation and validation criteria.
K0055,Knowledge of microprocessors.
K0336,Knowledge of access authentication methods.
K0057,Knowledge of network hardware devices and functions.
K0374,"WITHDRAWN: Knowledge of basic structure, architecture, and design of modern digital and telephony networks. (See K0599)"
K0032,Knowledge of resiliency and redundancy.
K0067,Knowledge of process engineering concepts.
K0045,Knowledge of information security systems engineering principles (NIST SP 800-160).
K0288,Knowledge of industry standard security models.
K0268,Knowledge of forensic footprint identification.
K0321,Knowledge of engineering concepts as applied to computer architecture and associated computer hardware/software.
K0174,Knowledge of networking protocols.
K0271,"Knowledge of operating system structures and internals (e.g., process management, directory structure, installed applications)."
K0172,"Knowledge of middleware (e.g., enterprise service bus and message queuing)."
K0269,Knowledge of mobile communications architecture.
K0171,Knowledge of hardware reverse engineering techniques.
K0175,Knowledge of software reverse engineering techniques.
K0272,Knowledge of network analysis tools used to identify software communications vulnerabilities.
K0310,Knowledge of hacking methodologies.
K0176,Knowledge of Extensible Markup Language (XML) schemas.
